직무,고용 현황,근무지,날짜,별점,요약,장점,단점,경영진에게 바라는 점
미디어/홍보,전직원,서울,2022. 12,4.0,"""복지가 좋아 마음 편히 다닐 수 있는 회사.""","
복지, 연차를 눈치보지 않고 쓸 수 있음. 성장하는 회사라 많이 배울 수 있다.
","
개인에게 요구하는 기대치가 높아 주는 일만 하는 사람과는 맞지 않을 수 있음. 사측에서도 매번 이것저것 시도하는 중인지라 여러 면에서 일관성이 없다고 느껴질 때가 있다.
","
좋은 회사이며 시간이 지나면 더욱 좋고 큰 회사가 될 것이라 믿어 의심치 않습니다. 앞으로도 꾸준하면 좋겠습니다.
"
기획/경영,현직원,서울,2022. 06,4.0,"""스스로 시도해보고싶은게 있다면 다양하게 경험해볼 수 있는 회사.""","
사람 스트레스없이 일할 수 있음. 주도적으로 일을 찾아 하는 분위기라 스스로 일을 찾아하는 걸 좋아한다면 잘 맞음. 워라밸 보장. 도서비 컨퍼런스비 등 지원.
","
팀 전체의 방향이 불투명할 때도 있음. 급성장하는만큼 팀구성이 자주 바뀌는 중.
","
계속해서 회사의 방향과 상황에 대해서 투명하게 공유해주었으면.
"
기획/경영,전직원,서울,2022. 06,1.0,"""수평적이고 효율적인 회사이지만 3개월 수습때 잘리는 경우 있다""","
수평적이고 개인적인 문화로 사람스트레스는 없음일을 효율적으로 진행하려고 노력하지만… 대표 마음에 들어야함 (마이크로매니징 있음)
","
시세확장으로 1년동안 채용을 많이해서 인물이 다양해지긴 했지만 기존 멤버들의 텃세 살짝 있음안좋은 리뷰는 자꾸 지우는것 같은데 3개월 수습때 객관적인 평가인척하며 자기들 문화와 “다르면” 그냥 자르는경우 있음일하면서 질문하는걸 두려워하게 만드는 분위기
","
웹툰코인 잘 타서 실제 능력에 비해 가파르게 성장한듯 합니다. 이럴때일수록 주위를 돌아보는게 좋습니다
"
기획/경영,현직원,서울,2022. 04,5.0,"""사람에 대한 스트레스 없이, 인격적으로 존중 받으며 다닐 수 있는 회사""","
연차 신청시 결재 없음자율적인 업무 환경코로나 시국에 재택근무 가능글로벌 서비스를 만드는 회사다 보니 다양한 문화와 사람들을 접할 수 있음사무실이 조용하고 쾌적함강남권에 위치하여 주변 환경이 괜찮음
","
너무 조용해서 시끌벅적하고 활기찬 분위기를 바라는 사람은 맞지 않음업무 외적으로는 개인주의적인 성향이 있기는 함(친목도모, 회식, 사내행사 등은 거의 없는 편)팀바이팀으로 움직이는 경향이 있지만 그것이 누구에겐 장점으로 누구에겐 단점으로 느껴질 수 있는 호불호성 프로세스
","
현재에서 시끌벅적한 이벤트나 환경조성을 통하여 다양한 시도를 해보면 좋을 것 같습니다조금만 더 경직된, 눈치 보이는, 분위기만 탈피할 수 있다면 좀 더 멤버들에게 다양한 시너지를 기대할 수 있을 것 같습니다
"
개발,현직원,서울,2022. 01,5.0,"""성장할 수 있는곳. 주 40시간 근무를 지킨다. 업무를 효율적으로 진행할 수 있도록 이것저것 요청하는 사항에 대해 지원도 하고, 새로운 것들을 배우는 시간도 충분하게 주어짐. 효율적이고 건강한 개발 문화를 위해서 새로운 시도들을 많이 함. 개발팀 문화가 좋은데, 각 개발 리드분들이 일단 좋음. 시간을 꽉꽉 채워서 하는게 아닌, 주어진 일을 마무리 하는 기조로 가는 추세. 그리고 연장근무나 야근은 하지 않으려고 하는 분위기임.""","
연차 눈치 안보고 쓸 수 있음. 네이버 시리즈 B 받았고, 충분히 엑시트 할 수 있지 않을까 생각됨 (개인적인 의견임). 회사가 급속도로 성장했기 때문에 새로운 프로젝트들을 진행할 수 있고, 회사 기술스택 모두 의미있는 기술들 이어서 미래 커리어에도 도움이 될것 같음. 개발자를 뽑는데 정말 많은 시간을 쓰기때문에 좋은 개발자들로 구성되어있음. IPO의 기회도 볼 수 있지 않을까 싶음. 주니어 개발자들이 성장하기 좋은 분위기라고 생각되고, 시니어 개발자에게는 팀을 만들어가는 경험을 쌓을 수 있을것 같음. 15일 연차 이외에도 리프레쉬 휴가 제도가 있어서 중간중간 쉬어갈 수 있음. 급여제도도 개편해서 회사 성장에 알맞게 변화중.
","
스타트업이다보니 큰 기업에 비해 아직은 복지가 부족한것은 사실임. 스낵바 운영, 식권대장 (점심값), 코로나 선택적 재택운영, 세미나/도서 지원이 있는데, 이런 부분은 잘 되어있고, 지원  바로바로 잘 해줌.
","
유급 휴가제도나 복지에 조금더 신경써주면 좋겠습니다. 개개인의 성장에 필요한 이벤트 참여도 적극적으로 서포트 해줄 수 있는 시스템도 발전하면 좋겠습니다.
"
개발,현직원,서울,2021. 12,4.0,"""업무 몰입에 최적화된 환경, 글로벌 서비스 경험, 유능하고 뛰어난 동료들이 필요한 사람에게는 최적의 회사""","
자유로운 연차 사용, 다양한 복지, 해외 서비스 경험, 글로벌 커리어 개발 최적화, 똑똑하고 친절한 동료들
","
너무 조용한 사무실, 끈끈한 동료애를 느끼기 어려움, 활기차고 직원들 간의 허물 없는 친밀한 문화에 익숙한 사람에게는 적응이 힘든 곳
","
개개인의 업무적인 성과나 성장도 중요하지만 직원들이 함께할 수 있는 자리를 자주 마련해 서로 동일한 목표를 향해 성장하고 있음을 알 수 있었으면 해요
"
기획/경영,전직원,서울,2021. 09,3.0,"""사업 아이템이 좋다. 자율적으로 일해야함. 다만 아직은 스타트업이라 서로 발 맞춰야하는 부분들이 있다""","
재택근무, 깨끗한 근무환경, 넓은 사무실, 조용한 분위기, 친절한 인사팀, 효율적인 업무 방식 연구
","
자율적으로 일하는 건 좋지만 반복적인 루틴 때문인지 소통이 원활하지 않아서인지 좀 갑갑한 느낌을 많이 받았다.  현재 이직한 회사는 일을 잘하면 알아봐주고 실수하면 조언해주는데, 성장하는 모습을 지켜보더니 월급을 많이 올려줬다.이곳에서 일했던 경험이 있었기에 더 좋은 곳으로 이직할 수 있었던 것 같다.
","
바쁘셔서 힘드시겠지만 번창하시길 바랍니다!
"
마케팅/시장조사,전직원,서울,2021. 02,2.0,"""개인대표 회사 스타트업대표 마음대로 내규가 지속적으로 바뀜""","
유연근무 8-10시 업무의 자율성이외에는 생각이 나질않음
","
성과제, 마케팅을하는데 단기성과에 목을메고 압박을 함.
","
그닥 이미 떠난회사. 지금이라도 정확한 규율와 룰에 따라 주관적이지 않게 운영하길
"
마케팅/시장조사,전직원,서울,2021. 01,3.0,"""빠르게 성장하는 업계 특성을 탄 괜찮은 회사, 똑똑한 CEO, 착한 구성원들.""","
출퇴근 자유로움 (8시~10시 사이 알아서) 식대지원글로벌하고 똑똑한 동료들 HR 일이 빠르고 좋아요
","
내부적으로 주도적으로 일한다는 의미가 ""지속적으로, 반복적으로"" ""알아서"" 가이드 없이 쳐낼수있냐는 의미에 더 가까운것 같았다.
","
좋은 회사 같아요. 성공하시길! 다만, 회사의 비전과 서비스의 미션을 공유하는 시간이 동시에 있으면 좋을텐데 하고 아쉬웠어요.
"
기획/경영,현직원,서울,2020. 10,5.0,"""수평적인 조직 문화에서 다양한 의견을 제시하고 또 수용하는 분위기.""","
연차 반차 등 사용이 자유롭다.누구의 눈치를 보지 않고 의견을 제시하고 또 본인이 원하는 업무를 스스로 할 수 있다.
","
내부 분위기가 조용한 편이다.단, 개발/번역/검수 등의 작업환경 등의 이유가 있고 점심 시간은 시끌벅적하다.
","
개개인이 아닌 전체가 한자리에 모여 소통할 수 있는 자리가 꾸준히 있었으면 좋겠다.
"
개발,전직원,서울,2020. 10,1.0,"""스타트업이 처음이라면 생소할 수 있음. 스스로 일을 찾아서 해야 함.""","
아무도 모라고 간섭하는 사람이 없음. 출퇴근 시간만 잘 맞추면 됨.
","
스스로 일을 찾아서 해야하기때문에 아웃풋이 명확하게 있어야 함.
","
업무 지시에 있어서 좀 더 명확하게 전달을 해줬으면 함.
"
개발,현직원,서울,2020. 03,4.0,"""자율과 책임이 확실한곳. 경험하면서 배울수 있다.  사수를 기대한다면 맞지 않을수도.""","
자유로운 분위기로 휴가쓰는데 눈치안봄타팀과 분위기 좋은복지 계속 좋아지고 있음계속 성장하는 시장에 있어서 연봉 협상이 계속 이루어짐
","
계속 체계를 잡아가고 있지만 아직은 애매할때가 있어서 누구에게 물어봐야 할지 모를때가 있다. 딱히 단점이라면 자기 주도적이지 않으면 힘들다.
","
조금 더 분위기 조성의 직원들 니즈를 공감해 주면.적극적으로 직원들 의견을 경청하고 존중한다면 지금처럼 계속 발전할 것.
"
데이터,전직원,서울,2020. 03,2.0,"""사람보다 콘텐츠가 먼저인 곳. 스타트업치고 경영진의 의욕이 받쳐주지 못한다는 것을 느끼게 된다.""","
부서별 실적에 대한 압박감이 다르다.말인즉슨 어느 팀에 속해있느냐에 따라 천국과 지옥을 오갈 수 있음.
","
직원 간 또는 부서 간 경쟁 붙이려고 하는데 현재 경영진 능력으로 조직 관리와 업무 체계 정리가 불가능. 조직 시스템과 워크 플로우에 대한 이해도 부족으로 인해 직원에 대한 신뢰도가 낮거나 너무 의존적인 양극의 모습을 보인다. 위에서도 말했듯이 콘텐츠 퍼스트라 사람의 소중함은 잘 모른다.
","
경영진의 전문성 결핍이 마이크로매니징과 1차원적인 비판의 원인이 아닌가 싶다.  먼저 쓰여진 말도 안되는 좋은 리뷰들은 특정 부분이 일정하게 별점이 높다.직원들이 의욕있게 다닐 수 있는 환경을 조성해주면 기업 성장에 실질적인 도움이 될 것 같다.
"
기획/경영,전직원,서울,2020. 02,2.0,"""수평적인 척하지만 결국은 대표가 모든 것을 좌지우지하는 회사""","
출퇴근 시간이 자유롭다. 서로 개인적이라서 남들 일에 일절 터치하지 않는다. 직원들은 대체로 착한 편이고 연봉수준도 나쁘지 않은 편. 뭔가 이런저런 복지 같은 걸 제공하려고 한다.
","
수평적인 척하지만 모든 것을 대표가 원하는 방식에 맞춰야 한다. 서로 논의하면서 일할 수 있는 것처럼 말하고는 다른 방식을 제안하면 프로페셔널하지 못하다는 식의 말을 듣게 된다. 대표가 일을 열심히 하는 사람이라 그런지 남들도 다 본인처럼 하길 바라는 것 같은데 그건 본인 회사니까 가능한 일이 아닐지?그냥 시키는 일만 하면 되는 평직원들에게는 괜찮지만 관리직에게는 스트레스가 많은 회사. 이런저런 복지 같은 걸 ""제공하려고"" 할 뿐...정작 중요한 복지는...? ㅎ참고로 외국인 직원들도 많아서 외국어는 거의 필수. 일 좀 못한다 싶으면 가차없이 잘라버림.
","
몇 개 말도 안 되게 좋은 리뷰들이 보이는데...ㅎㅎ 그저 웃을 뿐입니다. 정말 수평적인 방향을 원한다면 조금은 자기 주장도 굽힐 줄 아셔야 할 것 같아요. 본인이 모든 일의 전문가는 아니라는 걸 아셨으면 좋겠네요.
"
디자인,현직원,서울,2019. 12,5.0,"""데이터 중심 소통, 신뢰가 두터운 동료들, 사내정치 및 꼰대를 경계하는 문화로 인해 행복하게 일할 수 있는 회사""","
- 각 분야에서 최고가 되려고 노력하는 동료들.- 날카로운 개선점도 부드럽게 피드백 주고 받을 수 있는 문화.- 회사에 싸이코가 없음(...저 빼고요)
","
- 사무실이 조용한 편이에요...처음에는 적응이 힘드실 수 있어요.- 스스로 일을 찾아서 해야하는 문화에요. 위에서 시키는 일만 하는데 익숙하신 분들은 적응이 힘드실 거에요.
","
앞으로도 지금처럼 팀별로 소통하는 기회를 더 만들고, 서비스 개선 아이디어를 공유할 수 있는 기회도 더 많아지면 좋을 것 같습니다 :)
"
데이터,현직원,서울,2019. 10,4.0,"""한해가 다르게 발전하고 있는 곳. 지난 6개월, 1년 서비스도 회사 로켓을 탔다.""","
연차 사용 자유롭니다. 탄력 근무제로 출근 시간이 여유가 있다. 인센티브로 연봉 외에 성과급이 1년에도 몇번이 있다. 서비스 빠르게 성장하다 보니 제자리 걸음을 하다가는 뒤쳐진다. 외국인, 영어 사용이 많고 분위기가 자유롭다.
","
본인 업무에만 집중하는 개인 주의, 영어가 자유롭지 않으면 어울리기 어려운 절반 가까운 동료들, 나이와 경력이 비슷한 동료들과의 경쟁 그리고 수치 위주의 평가와 권고사직.
","
크지 않은 조직인데 오래 회사를 다닌 분들 조차도 서로 잘 모르는 경우가 많은 것 같습니다. 팀별로 더 화합할수있는 기회가 있으면 좋겠습니다.
"
개발,전직원,서울,2018. 12,4.0,"""글로벌 환경에서 플랫폼 경험을 쌓기 좋음""","
매출 잘 나와서 월급 밀릴 걱정은 없음 (성과에 따라 인센티브 지급)연차 자유롭게 사용할 수 있음회의, 업무 진행할 때 수평적으로 진행세미나 / 컨퍼런스 적극 지원
","
핵심인력만 구성된 작은 규모라는 장점을 살리지 못하고 더디고 모호한 의사결정으로 인해 가능성은 풍부하나 발전이 더딤업무 외적인 부분에서 이해하기 힘든 마이크로 매니징이 스트레스
","
불합리한 부분, 비효율적인 업무방식을 개선하려는 직원들의 의견을 진지하게 들어줬으면 좋겠음
"
개발,전직원,서울,2018. 11,4.0,"""성장세가 빠른곳. 글로벌 서비스를 경험 할 수 있다""","
자유로운 분위기, 스타트업이지만 경력자가 많아 배울것이 많다
","
수평적인 문화를 추구하였으나 성장하고 사람이 많아지면서 수직적으로 변해가고 있다
","
다양한 복지가 만들어 지면 좋겠다. 스타트업이지만 크게 성자하는것에 비해 아직 조직 문화가 부족한것 같다
"
개발,전직원,서울,2018. 06,2.0,"""콘텐츠퍼스트라는 이름답게 사람보다 콘텐츠가 우선이다.""","
8시~10시 사이 출근 일 자체는 도전이 없고 편함.
","
복지가 없음.면접 때 들은 건 출근이 8~10시 사이인 것 밖에 없음. 스타트업 치고 분위기가 경험해본 곳 중 최악.직원간 그리고 부서간 경쟁을 붙이려 하는데 비해 인사관리가 전혀 안됨.현재 경영진 능력으로는 조직관리와 업무체계 정리가 불가능함.조직 시스템과 워크 플로우에 대한 이해도 부족으로 인해 직원을 신뢰하지 못하거나 너무 의존적인, 양극의 모습이 보임.
","
능력의 한계를 인정하고 경영에서 손을 떼는 것이 기업 성장에 도움이 될 것임.
"
기획/경영,전직원,서울,2023. 06,3.0,"""골프나 치며 적당히 다니기에 좋은 회사. 커리어 욕심 있으면 고민해봐야 할 회사""","
연차 셀프 승인. 커피머신 좋음. 사무실 인테리어 좋음
","
장점빼고전부다. 고인물들 위주로 모든 의사결정과 분위기 형성되며 자기들은 아니라고 하지만 모두가 안다. 절대 안바뀜.
","
부서별로 빌런이나 일 안하는 사람 대놓고 눈에 보이고 자기들도 다 알면서 원년멤버라고 챙기지 말고 회사를 위해 정리했으면
"
금융/재무,전직원,서울,2023. 05,3.0,"""일하는 사람만 일하는 곳. 팀을 잘 만나면 편하게 회사생활 가능.""","
깨끗한 사무실, 밀리지 않는 월급? 기본적인 복지제도는 갖추고 있다고 생각함
","
10년이상 다닌 고인물들이 가장 큰 단점임. 회사 발전이 불가능...
","
딱히 바라는 거 없습니다 보여주기식 쇼잉만 하지 말아주세요
"
