주요 업무,자격요건 및 우대사항
 자금 출납 및 운용 부가세법인세 신고 및 기타 세무 그 외 전반적인 재무 관련 업무 지원 자금관리 금융거래 실무 사무실 비품 자산 관리 법무 및 사무 업무 지원, 컴퓨터 활용 능력 우수자                                           회계 업무 2년  6년 기장 or 결산 관련 회계 지식 및 실무 경험 능동적인 업무 수행 및 다양한 직군의 사람들과의 원활한 의사소통 능력 목표를 중심으로 프로세스를 설계할 수 있는 논리력 유연한 사고력 자회사 재무관리 경험자 우대 컴퓨터 활용 능력 우수자 회계 관련 학과를 전공하였거나 회계세무 관련 자격증전산세무회계 보유자                                               스타트업 경험자 결산 및 회계 감사 경험자
1 관리손익 부서별  매장별  브랜드별 관리손익 산출2 사업계획 연간 사업계획 수립3 예산관리 사업계획 근거 예산 운영4 중장기 계획 3  5  10년 중장기 계획 수립5 경쟁사  환경분석 경쟁사 실적 및 내외부 환경 분석6 회의체 운영 기간별 회의체 운영7 지표관리 재고  손익 지표  산출 및 보고, 대학교4년 졸업 과장대리급48년 경영기획 경험 4년 이상 분석적 사고  키즈 및 주니어 패션 경력자 우대 주주 관련 업무 경험
MGRV가 전개하는 다양한 형태의 사업의 수익성 개선 및 고객 만족도 제고를 위한 영업 및 운영 전략을 수립합니다 재무적인 지표는 물론 customer journey 전반에 걸친 다양한 지표들을 테이터베이스화하고 분석하여 전략적 시사점을 도출하는 역할을 합니다 소규모 프로젝트를 독립적으로 맡아 이끌어 나가기도 하며 부동산개발운영시설브랜드 디자인개발 등 전사 모든 부서들과 밀접하게 협업합니다  Revenue manager로 가격 정책 운영을 통한 매출 증대  운영 중인 지점의 재무 및 운영 관련 선행 지표 관리  비즈니스 수익성 개선을 위한 전략 과제 선정 및 문제 해결  고객 및 공간 운영 데이터 분석을 통한 전략적 시사점 도출,  기업의 PL 지표에 대한 이해를 바탕으로 수익성 개선을 위한 과제 정의가 가능하신 분  문제 정의해결방안 탐색실행의 일련의 과정을 수행할 수 있는 분  데이터를 활용하여 실제 사업에 적용할 수 있는 분  각 종 데이터를 취합 분석 시각화가 가능한 분SQL 태블로 등 경험 우대  근성Grit을 가지고 새롭게 시도하며 끊임없이 성장하고자 하는 마음가짐Growth mindset을 지니신 분  코리빙Coliving 또는 O2O 비즈니스에 대한 이해와 열정이 있으신 분
 엘리스 부트캠프 졸업생의 진로 설계와 취업 준비를 돕습니다 채용시장 분석을 통해 테크 기업직군이 지원자에 요구하는 역량 파악 주기적인 취업상담을 통해 졸업생의 취업연계 지원 취업현황 관리 취업 관련 데이터 수집 및 분석 보고서 작성 채용 성사율을 높일 수 있는 채용행사를 기획하고 운영합니다 기업이 참가하는 채용 설명회 채용 박람회 등 기획 및 운영 졸업생이 역량을 준비할 수 있는 이력서 특강 면접 특강 등 기획 및 강의 채용 직무와 사용 기술이 엘리스 트랙과 맞는 기업을 발굴합니다 기업 및 시장 동향 분석 신규 파트너 기업 소싱 기존 파트너 기업과의 긴밀한 파트너 관계 구축 수료생과 파트너 기업 간의 취업 매칭을 위한 전략 수립 및 실행 기업에 엘리스 트랙과 졸업생을 알리고 채용과 교육을 통한 협업을 제안합니다 잠재 파트너사와 기존 협력사에 엘리스 트랙 홍보 파트너사와 채용과 교육을 통한 마케팅프로모션 제휴 파트너사의 만족도 조사 및 피드백 반영한 전략 수립, 엘리스 트랙을 비롯한 개발 부트캠프에 관심이 있는 분 타인의 성장을 위해 방향을 제시하고 동기부여 해 주는 것에 보람을 느끼는 분 전략적인 사고를 바탕으로 글과 말을 통해 논리적이고 설득력 있는 커뮤니케이션을 할 수 있는 분 자기주도적으로 문제를 정의하고 해결할 수 있는 역량을 갖춘 분 운영 업무를 프로세스화하고 문서화할 수 있으며 Excel Google Spreadsheet 등 OA 툴 사용이 가능하신 분 소프트웨어 플랫폼 새로운 툴 등 테크 분야에 관심이 있는 분 개발 부트캠프 운영 취업상담 영업 중 한 가지 이상에 경험이 있는 분 데이터 기반으로 의사결정 하는 것에 익숙하신 분 업무 자동화 경험이 있거나 업무 자동화 세팅이 가능한 분 서치펌 PM 경력이 있으신 분
 엘리스 훈련 교육 과정에 참여할 외부 강사를 구인 및 관리합니다 강사 다이렉트 소싱 및 장기적 네트워킹 새롭게 합류한 강사가 빠르게 플랫폼에 적응하고 훈련 교육의 방향성을 잡도록 도움을 주는 온오프보딩 프로세스 가이드를 기획 및 제작 학습자 온보딩부터 수료까지 AZ 교육 운영 기획 및 실행 교육 일정 플랫폼 학습자료 등 교육 환경 세팅 관리 학습자 선발 절차 운영 및 온보딩 온오프라인 학습에서 발생하는 다양한 이슈를 해결 학습자가 트랙을 성공적으로 완주할 수 있도록 상담 및 독려 관리 소속감과 동기 부여를 위한 네트워킹 프로그램 기획 운영 오리엔테이션 수료식 등 주요 교육 행사 기획 및 운영 수료율 만족도 지표 관리 및 개선 전략 수립 실행 학습 만족도 및 피드백 수집 분석 유관 부서 커뮤니케이션을 통한 개선 방안 실행 관리 출석률 이수율학습 성취도 트래킹 및 지표 개선을 위해 교육팀과 커뮤니케이션 지표 개선을 위한 전략 수립 및 실행 유관 부서 커뮤니케이션 및 실행 방안 매니징, 개발자 취업 준비생과 개발자 취업채용 시장에 대한 이해가 있으신 분 부트캠프 등 디지털 교육산업과 콘텐츠에 대한 이해가 있으신 분 목표 달성을 위한 업무 계획을 자기 주도적으로 수립하고 실행하실 수 있는 분 경청과 공감을 바탕으로 사람들과 소통할 수 있으며 동기 부여해 주는 것에 보람을 느끼는 분 온오프라인 오리엔테이션 동기부여 프로그램 기획 및 프레젠테이션이 가능하신 분 긍정적인 개발 커뮤니티 기획 및 운영과 활성화에 관심이 있는 분 말과 글을 통해 효과적이고 의미 전달이 명확한 커뮤니케이션을 하실 수 있는 분 Excel Google Spreadsheet 등 기본적인 OA 툴 사용이 가능하신 분 헤드헌터 서치펌 리크루터 경력 우대 개발 부트캠프 운영 등 관련 경험 데이터 기반으로 의사결정 하는 것에 익숙하신 분 업무 자동화 경험이 있거나 업무 자동화 세팅이 가능한 분 소프트웨어 플랫폼 새로운 툴 등 테크 분야에 익숙하신 분
 회사 전반적 운영 업무 수행 재무인사구매 관련 업무 업체 계약 및 매입매출 관리 회사 담당 세무법무특허 법인과 필요 업무 진행 분기 보고 작성 및 투자자 요청 자료 대응 정부지원사업 지원 및 관리 사업계획서 보고서 작성 사업비 관리 등, 서울 소재 4년제 대학 졸업자학사 계획적인 일정 관리 능력  세심한 자료 관리백업 능력 필요 Achievement Driven 목표지향적 성향을 보유한 자 스타트업 운영 업무 경험 보유자 정부지원사업 관련 업무 경험 보유자 Documentation 역량 English skill
1 관리손익 부서별  매장별  브랜드별 관리손익 산출2 사업계획 연간 사업계획 수립3 예산관리 사업계획 근거 예산 운영4 중장기 계획 3  5  10년 중장기 계획 수립5 경쟁사  환경분석 경쟁사 실적 및 내외부 환경 분석6 회의체 운영 기간별 회의체 운영7 지표관리 재고  손익 지표  산출 및 보고, 대학교4년 졸업 과장대리급48년 경영기획 경험 4년 이상 분석적 사고  키즈 및 주니어 패션 경력자 우대 주주 관련 업무 경험
 나라장터 입찰 제안서 작성 제안 전략 수립 제안서 관리 및 문서화 입찰 계약 등 기타 관련 업무 수행, 대졸이상 전공무관 입찰 제안서 작성 및 관리 경험 보유 경력 2년 이상 OA 활용능력 우수자한글 엑셀 PPT 워드 커뮤니케이션 능력과 꼼꼼함을 겸비한 분 집요함 자율성 책임감을 갖추신 분 배움과 성장에 대한 욕구가 있으신 분 교육업에서의 근무 경험 PPT 및 문서작성 능력 우수자
경영지원 정관 등록 신고 허가 등기 권리 관리 및 갱신 주주총회  이사회 소집 진행 의사록 작성 관리 등 투자사 분기 보고 및 사용 관리 등 대응 정부보조지원금 RD사업 관리 병역지정업체 전문연구요원 관리 기업부설연구소 관리회계세무 비용 지출 및 관리 월 마감 등 관련 자료 작성 회계법인의 커뮤니케이션원천세 부가세 법인세 신고 업무는 연계된 회계법인에서 주관인사 취업규칙 관리 등 인사관리 및 운영 실무 수행 채용 전략 수립 및 실행 임직원 복리후생 관리 사내 행사 기획 및 운영 각종 인사관련 제도 기획 및 보조급여는 연계된 노무법인에서 주관총무 각종 계약 관리 오피스 운영 유무형 자산 구매관리 및 시설 관리기타 경영지원 전반에 대한 업무, 관련 업계직무 근무경험 3년 이상 Office 툴Excel word 등 활용 능력이 좋으신 분 원활한 대인관계 및 커뮤니케이션 능력을 보유한 분 책임감과 성실성을 갖추고 주도적으로 일할 수 있는 분 컴퓨터활용능력 우수자 스타트업에 대한 이해도가 있으신 분 더존 위하고에 대한 경험이 있으신 분 TIPS 등 정부지원사업 관리 경험이 있으신 분
리텐틱스 팀은 실리콘밸리에 본사를 두고 서울에 지사를 운영하고 있습니다 실리콘밸리에서 PreA 및 브릿지  투자를 유치하며 한국 법인에서 미국 법인으로 전환Flip하였습니다 리텐틱스 경영지원 매니저는 주로 한국 오피스를 관리하며 재무 회계 및 총무 업무를 지원하는 역할을 담당합니다1 회계세무 지원 사대보험 및 기타 세무 업무 재무 회계 관리 결산정산 및 세무 법인 소통 업무 법인카드 관리 경비 처리닥스웨이브 사용2 기타 경영지원 업무 정부지원사업 관리 비즈니스 운영에 필요한 행정업무 DC형 퇴직연금 운용관리3 오피스 운영 관리 및 임직원 복리후생 지원4 인사 업무 온오프보딩 운영 취업규칙 및 각종 사내 규정 수립 및 운영 신규 채용 관리, 경영지원 및 총무 관련 경험을 2년 이상 5년 미만 보유하신 분 스스로의 성장에 대한 강한 동기부여를 갖고 계신 분 유연한 커뮤니케이션 능력으로 내부 구성원과 원활한 소통을 이끌어낼수 있는 분 문제를 파악하고 알맞은 접근 방식을 고려하여 해결책을 찾아낼 수 있는 분이런 경험이 있으신 분이면 더 좋아요우대 사항 재무 및 회계에 대한 깊은 지식 및 관련 자격증을 소지하신 분 스타트업에서 근무 경험이 있으신 분 스타트업의 일원으로 유니콘 기업으로의 기업 성장에 기여하고 싶으신 분 문서작성 및 프리젠테이션 능력이 우수하신 분  영어권 국가에서 학위를 취득하셨거나 혹은 영어에 대한 두려움이 없으신 분 SaaS 프러덕에 관심이 많으신 분
 회계 세무 재무 사항 전반  구매 및 결제 집행 소무품과 비품관리  기타 회사 내부 운영에 필요한 사항들 지원 담당, 숫자를 다루는데 자신있으신 분 스타트업에서의 경영지원 업무 경력있으신 분 스쿠버다이빙프리다이빙이 취미이신 분
  일자별 매출 보고 및 팀별 실적 관리  매월 비용 정리 및 손익계산서 등 회계 자료 작성  원천세부가세법인세 신고 자료 준비담당 회계법인 有  법인 계좌잔고 관리 등 및 카드 관리, 관리 회계를 경험하신 분 유관 경력 1년3년 이하 대졸 이상4년 세무회계 관련 지식이 있으신 분 꼼꼼하고 주도적이신 분 끈기와 집요함이 있으신 분 OA 활용능력 우수자엑셀 등 스타트업 경영지원 업무 경력자 우대 전공 상경 법학 회계세무법인 경력자 우대
재무회계법인세부가세원천세 등 세무 업무 총괄     월 결산 및 손익 분석 및 보고 인사총무 급여4대보험퇴직금 관리채용인사교육 등 HR업무 데이터 기반한 조직 및 인사 이슈 도출 및 개선자산 비품관리경영관리 일반업무,유관 업무 경험자 우대MS오피스 숙련자관련 자격증 보유자더존 스마트A위하고 사용 가능 자근로기준법 등 노동관계 법령에 대한 이해가 있으신 분 스타트업 근무자 및 경력자 우대 
 인사 관리 팀원 온보딩 팔로업 인사 채용 SaaS 관리 회계세무 지원 세무대리인 커뮤니케이션 자산 관리 및 총무 수입지출 관리 소모품 구매 등 정부지원사업 관련 행정 업무 지원 사내 행사 및 조직문화 프로그램 기획 및 운영 관리스타트업 성격상 업무 범위가 넓지만 각각의 업무양이 많지는 않습니다 충분히 소화하실 수 있도록 조절하여 전달드립니다, 관련 경력 2년 이상 스타트업 경영지원 업무 경력이 있으신 분 신뢰를 매우 중요한 가치관으로 생각하시는 분 꼼꼼한 업무 스타일을 보유하신 분 정부지원사업TIPS 관리 경험이 있으신 분 노션 FLEX 슬랙 등 협업툴 활용 경험이 있으신 분 패션 커머스 리세일 분야에 관심이 많으신 분
 1 회계총무 업무 전반  일자별 매출 보고 및 팀별 실적 관리  매월 비용 정리 및 손익계산서 등 회계 자료 작성  원천세부가세법인세 신고 자료 준비담당 회계법인 有  사내 그룹웨어다우오피스 관리  법인 계좌잔고 관리 등 및 카드 관리 2 인사 업무 전반  정규직 급여 정산담당 노무법인 有 및 지급  입퇴사 프로세스 진행  퇴직연금DB형 관리  근태 및 노무 관리  고용지원금 신청, 유관 경력 3년 이상 대졸 이상4년 근로기준법 세무회계 관련 지식이 있으신 분 꼼꼼하고 주도적이신 분 끈기와 집요함이 있으신 분 OA 활용능력 우수자엑셀 등 우대 전공 상경 법학 스타트업 경영지원 업무 경력자 평가보상 체계 수립 및 운영 경험자 회계세무법인 경력자 우대
 광고 콘텐츠 프로젝트별 예산 집행 관리 콘텐츠 제작매출 관리 자사 콘텐츠 견적 작성 하도급 계약서 작성 관리 제작 협력 파트너사 풀 관리, 예산 비용 관리 업무 경력 혹은 프로덕션 관리 업무 경력을 3년 이상 보유하신 분 광고대행사 제작관리 업무 경력을 2년 이상 보유하신 분 MSOffice 활용 능력이 우수하신 분 광고제작의 전반적인 흐름에 대한 이해도가 있으신 분 SAP ERP 사용 경험이 있으신 분 광고대행사 트래픽팀제작관리팀에서의 근무 경험이 있으신 분 광고 콘텐츠 제작물 예산 집행 경험이 있으신 분 ATL BTL 미디어 제작 관련 분야에서 업무 경험이 있으신 분 원활한 커뮤니케이션 능력과 예산관리 운영에 관한 전문지식을 보유하신 분
를 수행합니다 초기 스타트업의 경영지원재무 회계세무 인사총무 업무 등 업무를 경험하고 직접 총괄 리드하여 프로세스 설립 2023년도 목표 연 매출 150억 규모의 회사로 성장하기 위한 경영지원 인프라 구축 비즈니스 오퍼레이션에 필요한 업무 A to Z를 담당하며 회사운영 전반 지원, 스스로 문제 정의 구조화를 통한 논리적인 해결 전략을 모색하고 실행할 수 있는 분  논리적으로 커뮤니케이션하고 협업하는 역량을 가지신 분  루틴한 업무를 소화하면서 성장지향적인 성향과 사고를 가지신 분스타트업 혹은 중소기업 규모의 작은 회사에서 경영지원 전반적인 업무를 경험해보신분온라인 커머스 관련 업무 경험이 있으신 분숫자에 강하거나 꼼꼼하신 분or 세무 회계 관련 자격증을 소지하신분
주로 로맨시브의 자금 관련 업무를 진행하며 다른 구성원들이 맡은 업무에 집중하면서 걱정없이 빠른 속도로 달려나갈 수 있도록 서포트하게 됩니다 각종 정산 및 회계 처리 진행     매출매입 세금계산서 발행 및 법인카드 관리     월 마감 등 관련 장부 자료 작성     기존 자사 세무사와 함께 세무 회계 지원 부가세 법인세 등 TIPS 등 정부지원사업 지원 및 운영 계약서 등 중요 문서 관리, 유관 경험이 3년 이상 있으신 분 MS Office 활용 능력이 뛰어나신 분 더욱 효율적이고 몰입 가능한 환경을 위해 지속적으로 고민하고 프로세스를 효율적으로 개선해 본 경험이 있으신 분 정직하고 꼼꼼하고 실수가 없고 책임감이 있으신 분 정부 지원 사업 선정 및 운영 경험이 있으신 분 회계총무 관련 경험 또는 자격증을 보유하신 분
IR  PR     코넥스 협회 정기 IRPR 자료 작성     기관투자자 등 IR 투자자 대응     주식현황 관련 홈페이지 관리 보도자료 작성,학력   대졸이상학력   3년 이상 컴퓨터 활용능력 우수 PPT EXCEL 보고자료 작성 등영어 회화 능력 토익 800점 이상 OPIC IH 등상장사 IR 업무 경력자 우대바이오  제약 업종 경력자 우대
  문서관리 사무행정 복리후생 관리 사무 환경 개선  정산 업무 고정 변동비임대차 등영림원ERP사용  자산 관리유형무형 자산 구매 및 유지보수  시설 및 비품소모품 구매 관리  내부 통신망서버실 관리  행사 기획 및 진행  기타 총무 전반 업무 지원,   총무 업무에 대한 관심과 열정이 있으신 분   책임감 있고 적극적인 마인드를 가지신 분   친화력이 좋고 원활한 커뮤니케이션이 가능하신 분   더 나은 업무 환경을 위해 함께 고민할 수 있는 분   엑셀문서 작성이 능숙하신 분   네트워크 및 PC 관련 제반 지식 및 경험이 있으신 분   IT관련 전문 지식 및 자격증을 보유하신 분 
MGRV가 전개하는 다양한 형태의 사업의 수익성 개선 및 고객 만족도 제고를 위한 영업 및 운영 전략을 수립합니다 재무적인 지표는 물론 customer journey 전반에 걸친 다양한 지표들을 테이터베이스화하고 분석하여 전략적 시사점을 도출하는 역할을 합니다 소규모 프로젝트를 독립적으로 맡아 이끌어 나가기도 하며 부동산개발운영시설브랜드 디자인개발 등 전사 모든 부서들과 밀접하게 협업합니다  Revenue manager로 가격 정책 운영을 통한 매출 증대  운영 중인 지점의 재무 및 운영 관련 선행 지표 관리  비즈니스 수익성 개선을 위한 전략 과제 선정 및 문제 해결  고객 및 공간 운영 데이터 분석을 통한 전략적 시사점 도출,  기업의 PL 지표에 대한 이해를 바탕으로 수익성 개선을 위한 과제 정의가 가능하신 분  문제 정의해결방안 탐색실행의 일련의 과정을 수행할 수 있는 분  데이터를 활용하여 실제 사업에 적용할 수 있는 분  각 종 데이터를 취합 분석 시각화가 가능한 분SQL 태블로 등 경험 우대  근성Grit을 가지고 새롭게 시도하며 끊임없이 성장하고자 하는 마음가짐Growth mindset을 지니신 분  코리빙Coliving 또는 O2O 비즈니스에 대한 이해와 열정이 있으신 분
경영지원팀 업무 본사 및 자회사의 Wehago를 통한 자체 기장 업무 신고는 회계법인과 협업 급여정산 및 지급 입퇴사등 인사관련 업무는 노무법인과 협업 토스 등 PG사 정산업무  자회사 관리 총무업무사내 비품관리 및 유뮤형자산 관리, 경영지원총무회계 관련 경력이 1년 이상이신 분 꼼꼼하고 성실한 성격을 가지신 분 동시에 여러가지 일을 챙기시는 데 능하신 분 정부과제 수행 경험하신 분 토스등 PG사 정산 업무경험 하신 분 세무 회계 등 관련 학과 전공자이거나 관련 자격증이 있으신 분 SaaS 등 IT기반 서비스 운영사 재직경험이 있으신 분 경영지원업무 1년 이상 문서작성 우수자 컴퓨터 활용능력 우수자 엑셀우수자
Team DescriptionThe Localization Team is responsible for localizing content so that all our readers across the globe can enjoy our webcomics Our work is not just about translation it is about delivering the same experience nuance and fun that local readers are able to enjoy in their native language Our project managers designers and language specialists work closely with one another to achieve this goalJob DescriptionAs a QA Editor you will work with other inhouse creatives project managers freelancers and vendors to finalize and polish our content for publishing and train new collaborators to produce their best workWe are looking for highly motivated individuals with the right mix of technical organizational and communication skills to provide localization in the following languages French GermanThis is a 1year contract positionResponsibilities Review and finalize content for publishing Train new vendors and freelancers to meet RIDIs quality standards Develop and improve localization guidelines including glossaries and style guides Manage external resources  hiring and training freelancers conducting performance evaluations etc Work with any and all internal stakeholders to check material status quality standards and any issues related to translating and editing Provide expertise on linguistic and cultural nuances in crossfunctional meetings,Qualifications Nativelevel fluency in one of these languages French German Solid grasp of grammar and punctuation rules in one of the languages mentioned above Advancedlevel fluency in English Ability to identify and resolve mistranslations by comparing English source text and target language text Good communication skills to train and give feedback to peers vendors and freelancers Only those with valid work visas will be considered F2 F4 F5 F6 E7Preferred Qualifications Experience with webcomic localization andor other content localization Interest in webcomicsmanhwamanhuamanga Comfortable with reviewing adult BL content Basic Photoshop skills
 인사  총무 일반사무관리 행정지원 자산관리 차량비품 등 경영진 수명 업무 법무  특허 MS Office 등 활용 문서작업 관리 지원사업, 경력  2년이상  7년이하 대학  24년 졸업자 MS Office 능숙자 운전 가능자 관련업무 경험자 근거리 거주자
